Model,Noise_Level,MAE
Ridge,0.0,47.9026341278922
MLPRegressor,0.0,42.28376766056367
RandomForest,0.0,42.05112943287868
GradientBoosting,0.0,41.67575173925792
CatBoost,0.0,41.011891087054735
Ridge,0.05,47.998447495352345
MLPRegressor,0.05,44.7010999203196
RandomForest,0.05,42.66744971646927
GradientBoosting,0.05,42.166284252066475
CatBoost,0.05,41.452834222379856
Ridge,0.1,48.244141050154646
MLPRegressor,0.1,51.60306990216181
RandomForest,0.1,44.458605227697696
GradientBoosting,0.1,43.78779626524359
CatBoost,0.1,42.9216865276161
Ridge,0.2,49.18634963313689
MLPRegressor,0.2,72.61881052899145
RandomForest,0.2,50.025824150549475
GradientBoosting,0.2,48.78286023856141
CatBoost,0.2,47.87791363110844
